Tweet ID,Date,Positive Sentiments,Neutral Sentiments,Negative Sentiments
444096351,10/14/18 16:10,0,0,-0.166666667
450680555,10/14/18 16:09,0,0,-0.1875
9.91419E+17,10/14/18 16:09,0.7,0,0
23730991,10/14/18 16:07,0,0,-0.2
8.47196E+17,10/14/18 16:06,0.6,0,0
432786510,10/14/18 16:05,0.05,0,0
277792122,10/14/18 16:05,0,0,-0.0625
1175576569,10/14/18 16:05,0,0,0
2998442525,10/14/18 16:05,0.068181818,0,0
277792122,10/14/18 16:04,0,0,-0.145
32552440,10/14/18 16:03,0.25,0,0
200756143,10/14/18 16:03,0,0,0
4888517873,10/14/18 16:02,0,0,-0.6
7.58454E+17,10/14/18 16:01,0,0,-0.3
736496305,10/14/18 16:01,0,0,0
122144972,10/14/18 15:57,0,0,0
66774765,10/14/18 15:56,0,0,-0.166666667
2782775851,10/14/18 15:52,0.136363636,0,0
15197290,10/14/18 15:52,0,0,0
1011415705,10/14/18 15:50,0,0,-0.166666667
8.10538E+17,10/14/18 15:50,0.25,0,0
61921063,10/14/18 15:49,0,0,-0.1
37704275,10/14/18 15:47,0,0,0
1.03383E+18,10/14/18 15:45,0.433333333,0,0
2766168558,10/14/18 15:45,0.068181818,0,0
1.02185E+18,10/14/18 15:44,0.125,0,0
11350892,10/14/18 15:43,0,0,0
561614650,10/14/18 15:42,0,0,-0.107142857
30029050,10/14/18 15:42,0,0,-0.5
1.04813E+18,10/14/18 15:40,0.208333333,0,0
15115280,10/14/18 15:40,0,0,0
1250049600,10/14/18 15:40,0,0,0
http://www.senate.gov,[],0,0,0
97576790,10/14/18 15:38,0,0,-0.2875
336753535,10/14/18 15:36,0,0,-0.2
29915046,10/14/18 15:34,0,0,0
15523710,10/14/18 15:34,0,0,-0.3
1439779176,10/14/18 15:33,0,0,0
9.65574E+17,10/14/18 15:32,0,0,0
32800767,10/14/18 15:31,0,0,-0.166666667
18814664,10/14/18 15:29,0,0,-0.166666667
18858554,10/14/18 15:28,0,0,-0.281818182
926094038,10/14/18 15:23,0,0,0
8.19797E+17,10/14/18 15:21,0,0,0
3913333961,10/14/18 15:20,0.111111111,0,0
